crop,year,yield_t_ha
jute,2007,1.0889
jute,2008,1.0938
jute,2009,1.0987
jute,2010,1.1036
jute,2011,1.1085
jute,2012,1.1134
jute,2013,1.1182
jute,2014,1.1197
jute,2015,1.1217
jute,2016,1.1198
jute,2017,1.1204
jute,2018,1.1206
jute,2019,1.1202
jute,2020,1.1204
jute,2021,1.1204
jute,2022,1.1204
jute,2023,1.1204
jute,2024,1.1204
kidneybeans,1961,0.3826
kidneybeans,1962,0.3889
kidneybeans,1963,0.4178
kidneybeans,1964,0.4502
kidneybeans,1965,0.4186
kidneybeans,1966,0.4531
kidneybeans,1967,0.4576
kidneybeans,1968,0.4109
kidneybeans,1969,0.4451
kidneybeans,1970,0.4768
kidneybeans,1971,0.4866
kidneybeans,1972,0.4763
kidneybeans,1973,0.4826
kidneybeans,1974,0.478
kidneybeans,1975,0.4909
kidneybeans,1976,0.478
kidneybeans,1977,0.4903
kidneybeans,1978,0.4753
kidneybeans,1979,0.4949
kidneybeans,1980,0.4859
kidneybeans,1981,0.4875
kidneybeans,1982,0.4969
kidneybeans,1983,0.5003
kidneybeans,1984,0.518
kidneybeans,1985,0.5054
kidneybeans,1986,0.4909
kidneybeans,1987,0.4636
kidneybeans,1988,0.4186
kidneybeans,1989,0.4202
kidneybeans,1990,0.4227
kidneybeans,1991,0.4293
kidneybeans,1992,0.4405
kidneybeans,1993,0.4213
kidneybeans,1994,0.456
kidneybeans,1995,0.4625
kidneybeans,1996,0.4721
kidneybeans,1997,0.4695
kidneybeans,1998,0.4713
kidneybeans,1999,0.4815
kidneybeans,2000,0.4915
kidneybeans,2001,0.4871
kidneybeans,2002,0.535
kidneybeans,2003,0.5427
kidneybeans,2004,0.5643
kidneybeans,2005,0.5364
kidneybeans,2006,0.615
kidneybeans,2007,0.7004
kidneybeans,2008,0.6919
kidneybeans,2009,0.6239
kidneybeans,2010,0.5411
kidneybeans,2011,0.6287
kidneybeans,2012,0.6335
kidneybeans,2013,0.6789
kidneybeans,2014,0.7282
kidneybeans,2015,0.6684
kidneybeans,2016,0.7009
kidneybeans,2017,0.7267
kidneybeans,2018,0.7035
kidneybeans,2019,0.7088
kidneybeans,2020,0.8731
kidneybeans,2021,0.8712
kidneybeans,2022,0.6193
kidneybeans,2023,0.7641
kidneybeans,2024,0.7102
lentil,1961,0.4225
lentil,1962,0.4226
lentil,1963,0.4196
lentil,1964,0.4568
lentil,1965,0.4242
lentil,1966,0.3367
lentil,1967,0.3683
lentil,1968,0.3193
lentil,1969,0.3185
lentil,1970,0.3387
lentil,1971,0.3476
lentil,1972,0.3438
lentil,1973,0.3482
lentil,1974,0.3496
lentil,1975,0.3513
lentil,1976,0.389
lentil,1977,0.385
lentil,1978,0.3738
lentil,1979,0.3678
lentil,1980,0.4221
lentil,1981,0.4067
lentil,1982,0.4236
lentil,1983,0.3638
lentil,1984,0.445
lentil,1985,0.5292
lentil,1986,0.5445
lentil,1987,0.4016
lentil,1988,0.407
lentil,1989,0.434
lentil,1990,0.4402
lentil,1991,0.429
lentil,1992,0.4446
lentil,1993,0.4435
lentil,1994,0.4867
lentil,1995,0.5077
lentil,1996,0.5207
lentil,1997,0.5034
lentil,1998,0.5711
lentil,1999,0.6513
lentil,2000,0.646
lentil,2001,0.5848
lentil,2002,0.5848
lentil,2003,0.5959
lentil,2004,0.6027
lentil,2005,0.5968
lentil,2006,0.528
lentil,2007,0.5385
lentil,2008,0.4803
lentil,2009,0.466
lentil,2010,0.4542
lentil,2011,0.5057
lentil,2012,0.4832
lentil,2013,0.5175
lentil,2014,0.4408
lentil,2015,0.5021
lentil,2016,0.436
lentil,2017,0.4576
lentil,2018,0.4659
lentil,2019,0.461
lentil,2020,0.5095
lentil,2021,0.5914
lentil,2022,0.6009
lentil,2023,0.6284
lentil,2024,0.7637
maize,1961,1.0309
maize,1962,1.0525
maize,1963,1.0522
maize,1964,1.0861
maize,1965,0.9956
maize,1966,1.0608
maize,1967,1.3021
maize,1968,1.0155
maize,1969,1.0309
maize,1970,1.1208
maize,1971,1.1139
maize,1972,1.0945
maize,1973,1.2135
maize,1974,1.2171
maize,1975,1.2944
maize,1976,1.2242
maize,1977,1.2512
maize,1978,1.2282
maize,1979,1.2483
maize,1980,1.2619
maize,1981,1.2588
maize,1982,1.273
maize,1983,1.2701
maize,1984,1.2705
maize,1985,1.2556
maize,1986,1.3614
maize,1987,1.3197
maize,1988,1.3907
maize,1989,1.3667
maize,1990,1.4014
maize,1991,1.4235
maize,1992,1.3966
maize,1993,1.3983
maize,1994,1.5004
maize,1995,1.6908
maize,1996,1.5884
maize,1997,1.6352
maize,1998,1.7853
maize,1999,1.7169
maize,2000,1.7086
maize,2001,1.7631
maize,2002,1.8448
maize,2003,2.0034
maize,2004,2.8488
maize,2005,2.9843
maize,2006,3.0368
maize,2007,3.4265
maize,2008,3.4154
maize,2009,3.4879
maize,2010,3.8052
maize,2011,3.9897
maize,2012,3.983
maize,2013,4.2313
maize,2014,4.3211
maize,2015,4.4248
maize,2016,4.5491
maize,2017,4.7182
maize,2018,4.9685
maize,2019,5.614
maize,2020,6.3054
maize,2021,5.7637
maize,2022,6.3886
maize,2023,5.9335
maize,2024,6.1333
mango,1961,6.9477
mango,1962,12.0155
mango,1963,5.5206
mango,1964,6.3021
mango,1965,6.7704
mango,1966,7.0937
mango,1967,12.0705
mango,1968,11.6527
mango,1969,8.5521
mango,1970,9.0274
mango,1971,9.3646
mango,1972,9.5741
mango,1973,9.6708
mango,1974,9.9606
mango,1975,10.1923
mango,1976,11.0316
mango,1977,10.1291
mango,1978,9.0137
mango,1979,9.0793
mango,1980,7.4672
mango,1981,7.3451
mango,1982,7.0378
mango,1983,6.6789
mango,1984,6.2377
mango,1985,6.1943
mango,1986,6.072
mango,1987,6.1494
mango,1988,5.6797
mango,1989,5.8428
mango,1990,9.2639
mango,1991,9.0888
mango,1992,9.1527
mango,1993,9.4934
mango,1994,9.8947
mango,1995,10.0108
mango,1996,10.1418
mango,1997,10.1134
mango,1998,9.88
mango,1999,9.7993
mango,2000,9.9628
mango,2001,10.2045
mango,2002,10.4797
mango,2003,10.0647
mango,2004,10.2414
mango,2005,11.0466
mango,2006,11.2021
mango,2007,10.4473
mango,2008,9.7087
mango,2009,9.3738
mango,2010,9.9869
mango,2011,10.2279
mango,2012,9.1833
mango,2013,8.9529
mango,2014,8.9841
mango,2015,9.3334
mango,2016,8.9839
mango,2017,9.8329
mango,2018,9.9643
mango,2019,10.569
mango,2020,10.9351
mango,2021,12.5379
mango,2022,13.0258
mango,2023,13.5934
mango,2024,11.2913
mothbeans,1961,0.3954
mothbeans,1962,0.3742
mothbeans,1963,0.362
mothbeans,1964,0.4425
mothbeans,1965,0.4981
mothbeans,1966,0.4642
mothbeans,1967,0.4552
mothbeans,1968,0.6949
mothbeans,1969,0.5448
mothbeans,1970,0.6588
mothbeans,1971,0.6431
mothbeans,1972,0.6886
mothbeans,1973,0.6453
mothbeans,1974,0.6284
mothbeans,1975,0.786
mothbeans,1976,0.7217
mothbeans,1977,0.6671
mothbeans,1978,0.6787
mothbeans,1979,0.6444
mothbeans,1980,0.6279
mothbeans,1981,0.6122
mothbeans,1982,0.6532
mothbeans,1983,0.62
mothbeans,1984,0.6345
mothbeans,1985,0.6314
mothbeans,1986,0.6731
mothbeans,1987,0.6533
mothbeans,1988,0.7143
mothbeans,1989,0.8042
mothbeans,1990,0.7954
mothbeans,1991,0.7656
mothbeans,1992,0.8
mothbeans,1993,0.84
mothbeans,1994,0.9069
mothbeans,1995,0.8994
mothbeans,1996,0.9243
mothbeans,1997,0.9524
mothbeans,1998,0.927
mothbeans,1999,0.8785
mothbeans,2000,0.9219
mothbeans,2001,0.8539
mothbeans,2002,0.8543
mothbeans,2003,0.815
mothbeans,2004,0.8261
mothbeans,2005,0.7569
mothbeans,2006,0.7381
mothbeans,2007,0.739
mothbeans,2008,0.6609
mothbeans,2009,0.6176
mothbeans,2010,0.6301
mothbeans,2011,0.7287
mothbeans,2012,0.7057
mothbeans,2013,0.7188
mothbeans,2014,0.776
mothbeans,2015,0.6242
mothbeans,2016,0.9486
mothbeans,2017,0.8349
mothbeans,2018,0.799
mothbeans,2019,0.8167
mothbeans,2020,0.8056
mothbeans,2021,0.8023
mothbeans,2022,0.8122
mothbeans,2023,0.8091
mothbeans,2024,0.8057
mungbean,1961,0.3954
mungbean,1962,0.3742
mungbean,1963,0.362
mungbean,1964,0.4425
mungbean,1965,0.4981
mungbean,1966,0.4642
mungbean,1967,0.4552
mungbean,1968,0.6949
mungbean,1969,0.5448
mungbean,1970,0.6588
mungbean,1971,0.6431
mungbean,1972,0.6886
mungbean,1973,0.6453
mungbean,1974,0.6284
mungbean,1975,0.786
mungbean,1976,0.7217
mungbean,1977,0.6671
mungbean,1978,0.6787
mungbean,1979,0.6444
mungbean,1980,0.6279
mungbean,1981,0.6122
mungbean,1982,0.6532
mungbean,1983,0.62
mungbean,1984,0.6345
mungbean,1985,0.6314
mungbean,1986,0.6731
mungbean,1987,0.6533
mungbean,1988,0.7143
mungbean,1989,0.8042
mungbean,1990,0.7954
mungbean,1991,0.7656
mungbean,1992,0.8
mungbean,1993,0.84
mungbean,1994,0.9069
mungbean,1995,0.8994
mungbean,1996,0.9243
mungbean,1997,0.9524
mungbean,1998,0.927
mungbean,1999,0.8785
mungbean,2000,0.9219
mungbean,2001,0.8539
mungbean,2002,0.8543
mungbean,2003,0.815
mungbean,2004,0.8261
mungbean,2005,0.7569
mungbean,2006,0.7381
mungbean,2007,0.739
mungbean,2008,0.6609
mungbean,2009,0.6176
mungbean,2010,0.6301
mungbean,2011,0.7287
mungbean,2012,0.7057
mungbean,2013,0.7188
mungbean,2014,0.776
mungbean,2015,0.6242
mungbean,2016,0.9486
mungbean,2017,0.8349
mungbean,2018,0.799
mungbean,2019,0.8167
mungbean,2020,0.8056
mungbean,2021,0.8023
mungbean,2022,0.8122
mungbean,2023,0.8091
mungbean,2024,0.8057
muskmelon,1961,11.9355
muskmelon,1962,11.9403
muskmelon,1963,11.9672
muskmelon,1964,12.0635
muskmelon,1965,11.8333
muskmelon,1966,12.0
muskmelon,1967,12.0
muskmelon,1968,11.9549
muskmelon,1969,11.9091
muskmelon,1970,12.0192
muskmelon,1971,11.9658
muskmelon,1972,12.0
muskmelon,1973,12.029
muskmelon,1974,11.958
muskmelon,1975,11.9718
muskmelon,1976,11.9685
muskmelon,1977,12.0909
muskmelon,1978,11.9672
muskmelon,1979,11.9697
muskmelon,1980,10.3003
muskmelon,1981,12.8953
muskmelon,1982,13.0324
muskmelon,1983,11.7278
muskmelon,1984,13.506
muskmelon,1985,13.6289
muskmelon,1986,13.5521
muskmelon,1987,13.2977
muskmelon,1988,12.3572
muskmelon,1989,12.5108
muskmelon,1990,12.3704
muskmelon,1991,12.5387
muskmelon,1992,12.6891
muskmelon,1993,12.8782
muskmelon,1994,13.1716
muskmelon,1995,13.6364
muskmelon,1996,14.69
muskmelon,1997,15.66
muskmelon,1998,17.0071
muskmelon,1999,16.9486
muskmelon,2000,15.7861
muskmelon,2001,15.8965
muskmelon,2002,16.3963
muskmelon,2003,16.0309
muskmelon,2004,15.007
muskmelon,2005,15.5074
muskmelon,2006,14.1429
muskmelon,2007,13.1234
muskmelon,2008,14.7463
muskmelon,2009,14.692
muskmelon,2010,14.7324
muskmelon,2011,14.4388
muskmelon,2012,15.0093
muskmelon,2013,12.5505
muskmelon,2014,12.7356
muskmelon,2015,12.4069
muskmelon,2016,13.5867
muskmelon,2017,14.1213
muskmelon,2018,15.3486
muskmelon,2019,16.4703
muskmelon,2020,18.4434
muskmelon,2021,18.6433
muskmelon,2022,17.7038
muskmelon,2023,20.0079
muskmelon,2024,20.8118
orange,1961,1.0944
orange,1962,0.6773
orange,1963,0.9119
orange,1964,1.202
orange,1965,1.1466
orange,1966,9.6317
orange,1967,9.593
orange,1968,10.0
orange,1969,10.2048
orange,1970,10.2295
orange,1971,10.6189
orange,1972,11.1254
orange,1973,11.5543
orange,1974,11.9182
orange,1975,10.6335
orange,1976,9.5585
orange,1977,7.7996
orange,1978,10.198
orange,1979,10.0395
orange,1980,10.351
orange,1981,9.8281
orange,1982,9.9828
orange,1983,9.5509
orange,1984,9.5253
orange,1985,9.5802
orange,1986,9.5526
orange,1987,8.884
orange,1988,9.199
orange,1989,9.2112
orange,1990,9.2861
orange,2016,8.6425
orange,2017,8.5858
orange,2018,8.6254
orange,2019,8.6112
orange,2020,9.0267
orange,2021,9.5965
orange,2022,9.6692
orange,2023,9.2901
orange,2024,14.3759
papaya,1980,7.418
papaya,1981,7.4297
papaya,1982,7.4307
papaya,1983,7.4043
papaya,1984,7.5
papaya,1985,7.7113
papaya,1986,7.732
papaya,1987,7.8751
papaya,1988,7.7064
papaya,1989,7.9481
papaya,1990,7.9359
papaya,1991,7.7558
papaya,1992,8.1357
papaya,1993,8.1663
papaya,1994,8.3601
papaya,1995,8.0
papaya,1996,6.7205
papaya,1997,5.1497
papaya,1998,5.0846
papaya,1999,4.7672
papaya,2000,4.3478
papaya,2001,4.4987
papaya,2002,4.5153
papaya,2003,4.4271
papaya,2004,5.1197
papaya,2005,5.2281
papaya,2006,5.1784
papaya,2007,4.5923
papaya,2008,5.5805
papaya,2009,5.6518
papaya,2010,5.1607
papaya,2011,5.1387
papaya,2012,4.8114
papaya,2013,4.8646
papaya,2014,4.9131
papaya,2015,4.8027
papaya,2016,4.5146
papaya,2017,4.4484
papaya,2018,4.6309
papaya,2019,4.5881
papaya,2020,5.2118
papaya,2021,5.5292
papaya,2022,7.2886
papaya,2023,7.3533
papaya,2024,7.6437
peas,1961,0.433
peas,1962,0.4461
peas,1963,0.4679
peas,1964,0.4495
peas,1965,0.4449
peas,1966,0.4408
peas,1967,0.465
peas,1968,0.4755
peas,1969,0.436
peas,1970,0.4327
peas,1971,0.436
peas,1972,0.4447
peas,1973,0.4614
peas,1974,0.4568
peas,1975,0.4444
peas,1976,0.4392
peas,1977,0.4428
peas,1978,0.4481
peas,1979,0.4472
peas,1980,0.4626
peas,1981,0.4576
peas,1982,0.4571
peas,1983,0.4629
peas,1984,0.4766
peas,1985,0.469
